"State","Department.Agency","Adopted.Adjusted.Estimated.Actual.etc.","Adopted.Actual...Simplified","LEA FY 2018-19","LEA FY 2019-20","LEA FY 2020-21","LEA FY 2021-22","Total_FY19","Total_FY20","Total_FY21","Total_FY22","LEA_19_22_Chg","LEA_19_20_Chg","LEA_20_21_Chg","LEA_21_22_Chg"
"Florida","Jacksonville Police and Sheriff's Departments ","Approved","Adopted",323575935,359032215,362004708,382134588,2613895652,2741393215,2961380591,3457971304,18.0973449091633,10.9576381197817,0.82791818555892,5.56066801208563
"Florida","Jacksonville Police and Sheriff's Departments ","Actual ","Actual",326810255,353610743,NA,NA,NA,NA,NA,NA,NA,8.20062638487278,NA,NA
"New Jersey","Jersey City Police Department ","Appropriated","Adopted",107579930,104288716,92051667,NA,NA,NA,NA,NA,NA,-3.05931970768154,-11.7338188342447,NA
"New Jersey","Jersey City Police Department ","Expended","",106933961,101122358,NA,NA,NA,NA,NA,NA,NA,-5.43475893500288,NA,NA
"Illinois","Joliet Police Department","Actual","Actual",58612312,60701259,NA,NA,267007565,277486587,NA,NA,NA,3.56400716627592,NA,NA
"Illinois","Joliet Police Department","Approved","Adopted",57575262,60039397,57395917,61096181,280989049,328958441,334444983,438417465,6.11533300534525,4.2798502593006,-4.40290897658416,6.44691154599028
"Missouri","Kansas City Police Department ","Adopted","Adopted",248108865,255016884,266377193,256773275,1.665e+09,1.73e+09,1.77e+09,1.742e+09,3.49218074090178,2.78426931661632,4.4547281818407,-3.60538298787464
"Texas","Laredo Police Department ","Actual","Actual",72763438,74317968,NA,NA,NA,NA,NA,NA,NA,2.1364163688912,NA,NA
"Texas","Laredo Police Department ","Proposed","Adopted",72420062,73979437,75528411,77794021,694744992,724454498,749216482,845333325,7.42053907658903,2.15323621236336,2.0937899270577,2.99967915384848
"Nevada","Las Vegas Police Department","Budgeted","Adopted",601072198,631964702,655617383,661826249,NA,NA,NA,NA,10.1076128961134,5.13956627885823,3.74272185220876,0.947025835646582
"Nevada","Las Vegas Police Department","Actual ","Actual",599044284,638418110,NA,NA,NA,NA,NA,NA,NA,6.5727738418751,NA,NA
"Nevada","Las Vegas Police Department","Projected","",596011589,626859059,613522509,NA,NA,NA,NA,NA,NA,5.17564936140864,-2.12751970455292,NA
"Nevada","Las Vegas Police Department","Requested","",601072198,631964702,655617383,661826249,NA,NA,NA,NA,10.1076128961134,5.13956627885823,3.74272185220876,0.947025835646582
"Kentucky","Lexington Police Department ","Actual","Actual",77170420,67030535,72474182,NA,NA,NA,NA,NA,NA,-13.139600639727,8.12114508708606,NA
"Kentucky","Lexington Police Department ","Orginal","Adopted",77471703,79504548,79640136,81562991,373239513,379148136,378863565,385381653,5.28100950614187,2.62398388221826,0.170541187153218,2.4144295785733
"Nebraska","Lincoln Police Department ","Actual","Actual",40750096,41893657,NA,NA,NA,NA,NA,NA,NA,2.80627805146766,NA,NA
"Nebraska","Lincoln Police Department ","Budget","Adopted",42132630,42562961,43397710,46273269,493978010,510652733,611750772,645440382,9.82763003401402,1.0213722713251,1.96120988856955,6.62606160555476
"California","Long Beach Police Department","Adjusted","",263190300,280869933,272914843,NA,NA,NA,NA,NA,NA,6.71743335525663,-2.83230387639961,NA
"California","Long Beach Police Department","Actual","Actual",262727114,278840697,NA,NA,NA,NA,NA,NA,NA,6.13320138704831,NA,NA
"California","Long Beach Police Department","Adopted","Adopted",259321589,264499242,269204686,285544890,3047517836,2804767253,2788848798,3014943193,10.1122706756205,1.99661471301566,1.77900093944315,6.06980667491055
"California","Los Angeles County Sheriff's Department","Adopted","Adopted",3390730000,3610781000,3599983000,3675896000,35628040000,39727415000,42091027000,43049183000,8.41016536262103,6.48978243623055,-0.299048876129569,2.10870440221523
"California","Los Angeles Police Department","Estimated","",1649810000,1837075323,1722495000,NA,NA,NA,NA,NA,NA,11.350720567823,-6.23710533615393,NA
"California","Los Angeles Police Department","Actual","Actual",1625220284,1773451665,NA,NA,NA,NA,NA,NA,NA,9.12069474269495,NA,NA
"California","Los Angeles Police Department","Adopted","Adopted",1609385210,1733838124,1857330549,1760908714,9899768481,10710077843,10531278041,11480288113,9.41499294628164,7.73294753963844,7.12248873124905,-5.19142029144539
"Kentucky","Louisville Police Department","Actual","Actual",187423400,188126900,NA,NA,755523400,756876800,972290900,830291200,NA,0.375353344352946,NA,NA
"Kentucky","Louisville Police Department","Revised Budget","",190119400,190877300,198353800,NA,NA,NA,NA,NA,NA,0.398644220421483,3.91691416423011,NA
"Kentucky","Louisville Police Department","Council Approved","Adopted",189076500,189828000,190578200,195895700,756452700,752475600,885613300,830291200,3.60658252083152,0.39745817169241,0.395199865141075,2.7901932120253
"Texas","Lubbock Police Department ","Actual ","Actual",67341293,70765408,NA,NA,NA,NA,NA,NA,NA,5.0847182277893,NA,NA
"Texas","Lubbock Police Department ","Budget","Adopted",69626853,72913743,73480446,77801456,816132369,825674369,867545146,943701022,11.740589510774,4.72072175946255,0.777223849281747,5.88048962032702
"Wisconsin","Madison Police Department ","Actual","Actual",81558916,87739735,NA,NA,NA,NA,NA,NA,NA,7.57834863817955,NA,NA
"Wisconsin","Madison Police Department ","Adopted","Adopted",80609046,85720976,86265422,88016731,332066444,340708133,349498793,360321028,9.18964479495266,6.34163317104634,0.635137425406822,2.03014018757133
"Tennessee","Memphis Police Department","Actual","Actual",269577976,279713082,NA,NA,NA,NA,NA,NA,NA,3.75961944309575,NA,NA
"Tennessee","Memphis Police Department","Adopted","Adopted",263137520,272780013,281479500,275723594,1242579339,1295684916,1347330964,1407354105,4.78307844506553,3.66443105491,3.18919517024878,-2.0448757369542
"Arizona","Mesa Police Department  ","Adopted","Adopted",182534000,193764000,202258000,226013000,1.82e+09,1.83e+09,1.91e+09,2.1e+09,23.8196719515268,6.15227847962571,4.38368324353337,11.744900078118
"Arizona","Mesa Police Department  ","Actual","Actual",181340016,168481043,NA,NA,NA,NA,NA,NA,NA,-7.09108407710739,NA,NA
"Florida","Miami Police Department","Adopted","Adopted",262969000,277359000,276413000,288144000,1098979000,1137380000,1165516000,1368052000,9.57337176625382,5.47212789340188,-0.34107420346915,4.24401167817722
"Florida","Miami Police Department","Actual","Actual",259595695,274150062,NA,NA,NA,NA,NA,NA,NA,5.60655175733943,NA,NA
"Wisconsin","Milwaukee Police Department","Actual","Actual",303035189,305196636,NA,NA,NA,NA,NA,NA,NA,0.713266009512842,NA,NA
"Wisconsin","Milwaukee Police Department","Adopted","Adopted",298922696,297366419,295305985,280432042,1540385474,1611266719,1552416989,1756776448,-6.18576449611574,-0.520628584187532,-0.692893974689186,-5.03679022963249
"Minnesota","Minneapolis Police Department","Actual","Actual",181165152,182980796,NA,NA,NA,NA,NA,NA,NA,1.00220377923454,NA,NA
"Minnesota","Minneapolis Police Department","Council Adopted ","Adopted",185693185,193256931,164290913,193104690,1699100000,1536200000,1449075649,1571907703,3.99126386894597,4.07324910712259,-14.9883462653145,17.5382657956256
"Illinois","Naperville Police Department","Actual","Actual",47208375,53940688,NA,NA,439174323,449240774,NA,NA,NA,14.260844606492,NA,NA
"Illinois","Naperville Police Department","Budgeted","Adopted",47743885,52647173,54398373,55226864,451398341,491503165,502423551,540578892,15.6731673595477,10.2699811714107,3.32629446219268,1.52300694728499
"Tennessee","Nashville Police Department","Budget ","Adopted",208272700,216790900,222519800,246094300,2230100600,2331618000,2466262200,2646580300,18.1596531854631,4.08992633215971,2.64259247044041,10.5943381218211
"Tennessee","Nashville Police Department","Actual","Actual",NA,213563370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisiana","New Orleans Police Department","Adopted","Adopted",192020049,193738832,177816365,217546610,1126080253,1133050256,1144264306,1485879708,13.2936957015358,0.895106010518725,-8.21852121003806,22.3434131048624
"Louisiana","New Orleans Police Department","Actual","Actual",179851105,166183432,NA,NA,NA,NA,NA,NA,NA,-7.59943787946146,NA,NA
"New York","New York City Police Department","Actual","Actual",5976818000,6086160000,5542436000,NA,NA,NA,NA,NA,NA,1.82943499367054,-8.93377762004285,NA
"New York","New York City Police Department","Executive  Plan","",5595212000,5921202000,5412947000,5435401000,NA,NA,NA,NA,-2.85620991662157,5.82623142787083,-8.58364568545373,0.414820244868461
"New York","New York City Police Department","Preliminary Plan","",5828354000,5601394000,5639465000,5419675000,NA,NA,NA,NA,-7.01191108158496,-3.89406683259116,0.679670096408144,-3.89735551156005
"New York","New York City Police Department","Adopted","Adopted",5595283000,5606475000,5224283000,5436734000,89158064224,92771874627,88191953188,98723402321,-2.83361896082825,0.200025628730486,-6.81697501549548,4.06660588639628
"New Jersey","Newark Police Department","See Note","Adopted",154625080,142704636,161166009,156240498,NA,NA,NA,NA,1.04473219997687,-7.70925648025534,12.9367717247812,-3.05617234711074
"Virginia","Norfolk Police Department ","Adopted","Adopted",75717773,77618592,78019800,79737018,1230071069,1231502208,1219426567,1274378785,5.30819230512762,2.51040003514102,0.516896776483655,2.20100282236048
"Virginia","Norfolk Police Department ","Actual","Actual",73014617,73670785,57023922,NA,NA,NA,NA,NA,NA,0.898680328625157,-22.5962883387221,NA
"Nevada","North Las Vegas Police Department ","Adopted","Adopted",100601129,101944866,106393078,117096812,601199092,614063723,683117972,746963812,16.3971151854568,1.33570767381746,4.36335067623709,10.0605548793315
"Nevada","North Las Vegas Police Department ","Actual","Actual",96719330,95805319,NA,NA,NA,NA,NA,NA,NA,-0.945013783697633,NA,NA
"California","Oakland Police Department","Adopted","Adopted",284817949,318707837,330118936,335844566,1484148797,1656222651,1652052100,2033463039,17.9155201345825,11.8987894263644,3.58042623219209,1.73441429000607
"California","Oakland Police Department","Proposed","",NA,318333926,329868493,340959916,NA,NA,NA,NA,NA,NA,3.62341744247517,3.36237720041968
